,beta,alpha,lp__
159,0.0005861707348019909,0.004185737069614457,-1952.6069293422158
160,0.0003244177259674944,0.004350572567347083,-1951.522264458445
161,0.00041278818921266103,0.004241114021647586,-1949.4658132046977
162,0.00038621537964589987,0.004302701112454617,-1949.8130212572835
163,0.00043148673086153375,0.004213373137212981,-1949.4967955843576
164,0.00046694910337426925,0.004088129402119614,-1950.940937239342
165,0.0005158407955645609,0.003953814610400265,-1954.8870119150106
166,0.0004491396711339774,0.004349828756135632,-1950.2306322217019
167,0.00041519291639032814,0.004315473771249503,-1949.7315712240334
168,0.00048494708035958303,0.004253447847737066,-1949.958390347616
169,0.00051106026209764,0.00437871645125994,-1951.7490866819228
170,0.0004081901917495839,0.004310696236957846,-1949.7108443006339
171,0.0005264204643561833,0.004243125758486792,-1950.7918580541636
172,0.00045373233565473137,0.00421827731037496,-1949.5792192828426
173,0.0003677323472503751,0.00420444206606842,-1950.115384895165
174,0.00040467018545311737,0.004304635599815367,-1949.6837308571664
175,0.000414390130058803,0.004152948796824378,-1949.965037108686
176,0.0004121360612212502,0.004121488631491686,-1950.3846484791386
177,0.0004926083716550975,0.004290390022446234,-1950.2718701872743
178,0.0004664516670839613,0.004176234167595363,-1949.8754801284501
179,0.0004766977759861504,0.004113889487456375,-1950.6245621407247
180,0.00033754987297879844,0.00420763678351342,-1950.8821065149282
181,0.000403171892500394,0.00429544822793674,-1949.6374126118733
182,0.00041753655982010773,0.004280523633955096,-1949.5211680550144
183,0.0005124021093567701,0.0041962010745073145,-1950.485189546102
184,0.0004399869687071392,0.00430277010597213,-1949.6979224850331
185,0.0004978324797867679,0.0042554518559353985,-1950.1922329707547
186,0.00036598529284440903,0.0042567950408245745,-1949.9875475227952
187,0.00037456186580703694,0.0040986664619775005,-1951.2840250379477
188,0.00031912921806159425,0.004375145152400471,-1951.9677704236356
189,0.0003302615073024776,0.004364560325399654,-1951.4740724395936
190,0.00046664319096582907,0.004127335395601195,-1950.350564529723
191,0.00044090352500552633,0.004320246793308894,-1949.8448053953368
192,0.00043676492867998314,0.004260812806289702,-1949.4853899172126
193,0.0003937303369715378,0.004259073641047415,-1949.592880177845
194,0.000375272288716419,0.004345480742623293,-1950.2842113566755
195,0.00046350518114410635,0.004156669590807662,-1950.004893158129
196,0.00046089142747250987,0.004321872891652519,-1950.0455366839135
197,0.0005039661626989904,0.004202089498504682,-1950.297731695309
198,0.0004832976546771651,0.00419970195746886,-1949.9569194325004
199,0.000501479151444445,0.00444362125890137,-1952.8413623955212
200,0.00040703957343025965,0.004149046776690194,-1950.0593550170272
201,0.0004459883392806432,0.0042923213778511705,-1949.6684770374186
202,0.00029407685236415153,0.004476146193632167,-1954.70227765554
203,0.00036485571910377764,0.004282668252660007,-1950.0447397367652
204,0.0004658140987605121,0.004189260192362493,-1949.7910103155966
205,0.0004135735458019674,0.00415284118316281,-1949.970923550961
206,0.0004506447388580272,0.004314014285008304,-1949.8658317510237
207,0.0004912248998802701,0.0043192161414803455,-1950.4938666530995
208,0.0003418723548294531,0.004340743867289052,-1950.9041704489894
209,0.00043782087316557696,0.004218430215112831,-1949.4951440048717
210,0.00045384721443536135,0.004318280802978386,-1949.9342898124316
211,0.0004569979156904473,0.004319121510054069,-1949.9749303146339
212,0.0004824777229802316,0.004126894384536728,-1950.5201380799979
213,0.00035740087670997395,0.004234201377036568,-1950.204666597682
214,0.0003844803529763666,0.004332663419023654,-1950.0510874021868
215,0.0005629099636633114,0.004254472499994598,-1951.88822652726
216,0.0004425769751637712,0.004197220852187419,-1949.5910943570245
217,0.0003736130946611127,0.00432292876545898,-1950.1074519894782
218,0.0004980070033869019,0.004139911807577112,-1950.596115884617
