well,bf,gfp,time,experiment,defect,nuclease
3,20,0,980,CGG_SpCas9,CGG,SpCas9
3,23,0,1000,CGG_SpCas9,CGG,SpCas9
3,23,0,1020,CGG_SpCas9,CGG,SpCas9
3,24,0,1040,CGG_SpCas9,CGG,SpCas9
3,25,0,1060,CGG_SpCas9,CGG,SpCas9
3,30,0,1080,CGG_SpCas9,CGG,SpCas9
3,30,0,1100,CGG_SpCas9,CGG,SpCas9
3,30,0,1120,CGG_SpCas9,CGG,SpCas9
3,31,0,1140,CGG_SpCas9,CGG,SpCas9
3,31,0,1160,CGG_SpCas9,CGG,SpCas9
3,33,0,1180,CGG_SpCas9,CGG,SpCas9
3,34,0,1200,CGG_SpCas9,CGG,SpCas9
3,36,0,1220,CGG_SpCas9,CGG,SpCas9
3,37,0,1240,CGG_SpCas9,CGG,SpCas9
3,39,0,1260,CGG_SpCas9,CGG,SpCas9
3,40,0,1280,CGG_SpCas9,CGG,SpCas9
3,40,0,1300,CGG_SpCas9,CGG,SpCas9
3,40,0,1320,CGG_SpCas9,CGG,SpCas9
3,40,0,1340,CGG_SpCas9,CGG,SpCas9
3,42,0,1360,CGG_SpCas9,CGG,SpCas9
3,42,0,1380,CGG_SpCas9,CGG,SpCas9
3,41,0,1400,CGG_SpCas9,CGG,SpCas9
3,46,0,1420,CGG_SpCas9,CGG,SpCas9
3,55,0,1440,CGG_SpCas9,CGG,SpCas9
4,1,0,0,CGG_SpCas9,CGG,SpCas9
4,1,0,20,CGG_SpCas9,CGG,SpCas9
4,1,0,40,CGG_SpCas9,CGG,SpCas9
4,1,0,60,CGG_SpCas9,CGG,SpCas9
4,1,0,80,CGG_SpCas9,CGG,SpCas9
4,1,0,100,CGG_SpCas9,CGG,SpCas9
4,1,0,120,CGG_SpCas9,CGG,SpCas9
4,1,0,140,CGG_SpCas9,CGG,SpCas9
4,1,0,160,CGG_SpCas9,CGG,SpCas9
4,1,0,180,CGG_SpCas9,CGG,SpCas9
4,1,0,200,CGG_SpCas9,CGG,SpCas9
4,1,0,220,CGG_SpCas9,CGG,SpCas9
